cupc,citem,mprice,sku,cuom,istdpk,pos18
"0","AZC TUNA","489.00","22287.00","KG","1","AZC TUNA"
"0","AZC YELLOW PIN","259.00","22172.00","KG","1","AZC YELLOW PIN"
"7041501","SANDALS-FW GF-RPI-O2","20.00","704150.00","PR1","1","SANDALS-RPI-O2"
"0","B&G GMBH MEATSAW BLADE 116X5/8","360.00","451672.00","PC","1","MEATSAWBLD 116X5-8"
"7041525","SANDALS-FW GF-RPI-O4","20.00","704152.00","PR1","1","SANDALS-RPI-O4"
"0","B.CODE STK.GRN 4inX2in/2500s/R","1200.00","657620.00","PC","1","B.CODE GRN 2500S-R"
"0","B.CODE STK.RED 4inX2in/2500s/R","1200.00","657619.00","PC","1","B.CODE RED 2500S-R"
"0","B.CODE STK.WHT 4inX2in/2500s/R","1200.00","657615.00","PC","1","B.CODE WHT 2500S-R"
"7041570","SANDALS-FW GF-RPI-O9","20.00","704157.00","PR1","1","SANDALS-RPI-O9"
"0","B.CODE STK.WT30mmX23mm10000/SC","900.00","657614.00","PC","1","B.CODE STK WT 1000"
"0","B.CODE STK.WT30mmX23mm4500s/SC","500.00","657596.00","PC","1","B.CODE STK WT W-SC"
"0","B.CODE STK.YEL 4inX2in/2500s/R","1200.00","657618.00","PC","1","B.CODE YEL 2500S-R"
"7041624","SANDALS-FW GF-RPI-P4","20.00","704162.00","PR1","1","SANDALS-RPI-P4"
"0","BA  KIWI GOLDEN/ KG","100.00","36846.00","KG","1","BA  KIWI GOLDEN-KG"
"0","BA ALAKAAK","250.00","30039.00","KG","1","BA ALAKAAK"
"0","BA ALAMANG BAGOONG","60.00","30043.00","KG","1","BA ALAMANG BAGOONG"
"0","BA ALAMANG FRESH","120.00","77990.00","KG","1","BA ALAMANG FRESH"
"0","BA ALAMANG SARIWA","150.00","30046.00","KG","1","BA ALAMANG SARIWA"
"7041730","SANDALS-FW GF-RPI-Q5","20.00","704173.00","PR1","1","SANDALS-RPI-Q5"
"0","BA ALAMANG","150.00","30041.00","KG","1","BA ALAMANG"
"0","BA ALIMASAG BIG","450.00","30055.00","KG","1","BA ALIMASAG BIG"
"0","BA ALIMASAG","430.00","30051.00","KG","1","BA ALIMASAG"
"0","BA ALUHIPAN","220.00","30064.00","KG","1","BA ALUHIPAN"
"0","BA ALUMAHAN","400.00","30069.00","KG","1","BA ALUMAHAN"
"0","BA ASSORTED FISH","185.00","30072.00","KG","1","BA ASSORTED FISH"
"0","BA ASUHOS","270.00","30081.00","KG","1","BA ASUHOS"
"0","BA AYUNGIN DAGAT","290.00","30082.00","KG","1","BA AYUNGIN DAGAT"
"0","BA AYUNGIN MEDIUM","250.00","30083.00","KG","1","BA AYUNGIN MEDIUM"
"0","BA AYUNGIN TABANG BI","500.00","30085.00","KG","1","BA AYUNGN TBANG BI"
"0","BA AYUNGIN TABANG","450.00","30084.00","KG","1","BA AYUNGIN TABANG"
"0","BA BANAK","230.00","30086.00","KG","1","BA BANAK"
"0","BA BANGUS BONELESS B","350.00","30088.00","KG","1","BA BANGUS BNELSS B"
"0","BA BANGUS BONELESS M","350.00","30089.00","KG","1","BA BANGUS BNLESS M"
"0","BA BANGUS BONELESS W","280.00","30090.00","KG","1","BA BANGUS BNLESS W"
"0","BA BANGUS LARGE","275.00","30092.00","KG","1","BA BANGUS LARGE"
"0","BA BANGUS MEDIUM","265.00","30094.00","KG","1","BA BANGUS MEDIUM"
"0","BA BETILYA","365.00","39839.00","KG","1","BA BETILYA"
"0","BA BIG HEAD ST.(MAYA","240.00","30095.00","KG","1","BA BIG HEAD ST.MYA"
"0","BA BISUGO MEDIUM","350.00","30097.00","KG","1","BA BISUGO MEDIUM"
"4595588","JOLLY DC2 DOG COLLAR 2","74.75","459558.00","PC","1","JOLLY DC2 DOG COL2"
"4595786","THROWPILLOWCASE-LN-WMK-3FOR100","10.00","459578.00","PC","12","THRWPLWCASE-3FR100"
"4595793","CURTAIN-LN-WMK-60x84-ASSRTD","20.00","459579.00","PC","24","CURT-60X84-ASSRTD"
"4595847","THROWPILLOWCASE-LN-WMK-ASSRTD","10.00","459584.00","PC","12","THRWPLWCASE-ASSRTD"
"4596042","SHO-RB-1705INF GIRL SHOES","50.00","459604.00","PC","12","INF GIRL SHOES"
"4596073","SHORTSCASUAL-APP-CCC-GIRL-237","30.00","459607.00","PC","12","SHORTSGIRL-237"
"4596295","SLIPPER FLIP-FW MF-FT-Z3","100.00","459629.00","PC","1","SLPPR FLP-FT-Z3"
"4596639","JOLLY DCF25 D/COLLAR W/FOAM2.5","219.75","459663.00","PC","1","JOLLY DCF25DCWFO2."
"4597209","JOLLY DO15 DOG WALKING LEAD1.5","139.75","459720.00","PC","1","JOLLY D015DWLKLD1."
"4597414","BLOUSE TRENDY-APP LW-CC-GRYM","20.00","459741.00","PC","2","BLOUSTRNDY-GRAYM"
"4597469","JOLLY CC4022 CHOKE CHAIN 40X22","49.75","459746.00","PC","1","JOLLY CC4022"
"4597537","GYLWR L/S BUTTONDOWN J.GREEN M","48.00","459753.00","PC","2","GYLWR L-S"
"4597575","LWR S/L PSHRT JULIA ASH S","49.00","459757.00","PC","2","LWR S-L PSHRT"
"4597582","JOLLY DLF20 DOG LEAD W/FOAM2.0","164.75","459758.00","PC","1","JOLLY DGLEADWFOAM2"
"4597636","LWR S/L PSHRT JULIA PURPLE S","49.00","459763.00","PC","2","LWR S-L PSHRT"
"4597650","LWR S/L PSHRT JULIA PURPLE M","20.00","459765.00","PC","2","LWR S-L PSHRT"
"4597759","LWR S/L PSHRT JULIA WHITE M","49.00","459775.00","PC","2","LWR S-L PSHRT"
"4597766","LWR S/L PSHRT JULIA WHITE L","49.00","459776.00","PC","2","LWR S-L PSHRT"
"4597773","LWR S/L PSHRT JULIA WHITE XL","49.00","459777.00","PC","2","LWR S-L PSHRT"
"4598114","SANDALS-FW LF-BSM-I6","10.00","459811.00","PR1","36","SANDALS-BSM-I6"
"4598138","LWR BLOUSE W/PANEL COMBI RED M","48.00","459813.00","PC","2","LWR BLOUSE W-PANEL"
"4598282","SANDALS-FW LF-BSM-GLC30","10.00","459828.00","PR1","36","SANDALS-FW LF"
"4598336","SANDALS-FW LF-BSM-I8","10.00","459833.00","PR1","36","SANDALS-BSM-I8"
"4598381","LWR BLOUSEW/PANELCOMBI DNDLN S","30.00","459838.00","PC","2","LWR BLOUSE W-PANEL"
"4598725","DOLLS-TOY-DOLLS-RGI-3FAI-N4875","49.00","459872.00","PC","3","DOLLS-N4875"
"4598756","DOLLS-TOY-DOLLS-RGI-3BSI-78412","299.00","459875.00","PC","3","DOLLS-78412"
"4598770","OTHERS TOYS-RGI-3HWIBF","49.00","459877.00","PC","6","OTHERS-459877"
"4598787","DOLLS-TOY-DOLLS-RGI-3BBI-BCF78","299.00","459878.00","PC","3","DOLLS-BCF78"
"4598800","DOLLS-TOY-DOLLS-RGI-3BBI-BCH57","10.00","459880.00","PC","3","DOLLS-BCH57"
